INFO  [2016-01-24 19:26:55,979] org.eclipse.jetty.util.log: Logging initialized @1050ms
INFO  [2016-01-24 19:26:57,740] org.eclipse.jetty.server.handler.ContextHandler: Started i.d.j.MutableServletContextHandler@4d0e54e0{/admin,null,AVAILABLE}
INFO  [2016-01-24 19:26:57,763] org.eclipse.jetty.server.ServerConnector: Started application@47fbc56{HTTP/1.1}{0.0.0.0:8080}
INFO  [2016-01-24 19:26:57,765] org.eclipse.jetty.server.ServerConnector: Started admin@151ef57f{HTTP/1.1}{0.0.0.0:8081}
INFO  [2016-01-24 19:26:57,766] org.eclipse.jetty.server.Server: Started @2837ms
DEBUG [2016-01-24 19:28:25,303] org.hibernate.SQL: 
    /* dynamic native SQL query */ /* MyApplication Health Check */ SELECT
        1
TRACE [2016-01-24 19:28:25,318] org.hibernate.type.descriptor.sql.BasicExtractor: extracted value ([1] : [NUMERIC]) - [1]
INFO  [2016-01-24 19:28:25,324] org.hibernate.engine.internal.StatisticalLoggingSessionEventListener: Session Metrics {
    46472 nanoseconds spent acquiring 1 JDBC connections;
    0 nanoseconds spent releasing 0 JDBC connections;
    8701500 nanoseconds spent preparing 1 JDBC statements;
    506379 nanoseconds spent executing 1 JDBC statements;
    0 nanoseconds spent executing 0 JDBC batches;
    0 nanoseconds spent performing 0 L2C puts;
    0 nanoseconds spent performing 0 L2C hits;
    0 nanoseconds spent performing 0 L2C misses;
    0 nanoseconds spent executing 0 flushes (flushing a total of 0 entities and 0 collections);
    48360 nanoseconds spent executing 1 partial-flushes (flushing a total of 0 entities and 0 collections)
}
INFO  [2016-01-24 19:29:39,402] org.eclipse.jetty.server.ServerConnector: Stopped application@47fbc56{HTTP/1.1}{0.0.0.0:8080}
INFO  [2016-01-24 19:29:39,403] org.eclipse.jetty.server.ServerConnector: Stopped admin@151ef57f{HTTP/1.1}{0.0.0.0:8081}
INFO  [2016-01-24 19:29:39,404] org.eclipse.jetty.server.handler.ContextHandler: Stopped i.d.j.MutableServletContextHandler@4d0e54e0{/admin,null,UNAVAILABLE}
INFO  [2016-01-24 19:29:39,407] org.eclipse.jetty.server.handler.ContextHandler: Stopped i.d.j.MutableServletContextHandler@3f598450{/messenger,null,UNAVAILABLE}
INFO  [2016-01-24 19:32:36,102] org.eclipse.jetty.util.log: Logging initialized @1040ms
DEBUG [2016-01-24 19:32:36,195] org.hibernate.type.BasicTypeRegistry: Adding type registration boolean -> org.hibernate.type.BooleanType@37b70343
DEBUG [2016-01-24 19:32:36,195] org.hibernate.type.BasicTypeRegistry: Adding type registration boolean -> org.hibernate.type.BooleanType@37b70343
DEBUG [2016-01-24 19:32:36,195] org.hibernate.type.BasicTypeRegistry: Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@37b70343
DEBUG [2016-01-24 19:32:36,196] org.hibernate.type.BasicTypeRegistry: Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@354fc8f0
DEBUG [2016-01-24 19:32:36,197] org.hibernate.type.BasicTypeRegistry: Adding type registration true_false -> org.hibernate.type.TrueFalseType@1fdfafd2
DEBUG [2016-01-24 19:32:36,197] org.hibernate.type.BasicTypeRegistry: Adding type registration yes_no -> org.hibernate.type.YesNoType@6d304f9d
DEBUG [2016-01-24 19:32:36,200] org.hibernate.type.BasicTypeRegistry: Adding type registration byte -> org.hibernate.type.ByteType@4cc6fa2a
DEBUG [2016-01-24 19:32:36,200] org.hibernate.type.BasicTypeRegistry: Adding type registration byte -> org.hibernate.type.ByteType@4cc6fa2a
DEBUG [2016-01-24 19:32:36,201] org.hibernate.type.BasicTypeRegistry: Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@4cc6fa2a
DEBUG [2016-01-24 19:32:36,201] org.hibernate.type.BasicTypeRegistry: Adding type registration character -> org.hibernate.type.CharacterType@590c73d3
DEBUG [2016-01-24 19:32:36,202] org.hibernate.type.BasicTypeRegistry: Adding type registration char -> org.hibernate.type.CharacterType@590c73d3
DEBUG [2016-01-24 19:32:36,202] org.hibernate.type.BasicTypeRegistry: Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@590c73d3
DEBUG [2016-01-24 19:32:36,203] org.hibernate.type.BasicTypeRegistry: Adding type registration short -> org.hibernate.type.ShortType@79da1ec0
DEBUG [2016-01-24 19:32:36,203] org.hibernate.type.BasicTypeRegistry: Adding type registration short -> org.hibernate.type.ShortType@79da1ec0
DEBUG [2016-01-24 19:32:36,203] org.hibernate.type.BasicTypeRegistry: Adding type registration java.lang.Short -> org.hibernate.type.ShortType@79da1ec0
DEBUG [2016-01-24 19:32:36,204] org.hibernate.type.BasicTypeRegistry: Adding type registration integer -> org.hibernate.type.IntegerType@27953a83
DEBUG [2016-01-24 19:32:36,204] org.hibernate.type.BasicTypeRegistry: Adding type registration int -> org.hibernate.type.IntegerType@27953a83
DEBUG [2016-01-24 19:32:36,204] org.hibernate.type.BasicTypeRegistry: Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@27953a83
DEBUG [2016-01-24 19:32:36,206] org.hibernate.type.BasicTypeRegistry: Adding type registration long -> org.hibernate.type.LongType@efde75f
DEBUG [2016-01-24 19:32:36,206] org.hibernate.type.BasicTypeRegistry: Adding type registration long -> org.hibernate.type.LongType@efde75f
DEBUG [2016-01-24 19:32:36,206] org.hibernate.type.BasicTypeRegistry: Adding type registration java.lang.Long -> org.hibernate.type.LongType@efde75f
DEBUG [2016-01-24 19:32:36,208] org.hibernate.type.BasicTypeRegistry: Adding type registration float -> org.hibernate.type.FloatType@13e3c1c7
DEBUG [2016-01-24 19:32:36,208] org.hibernate.type.BasicTypeRegistry: Adding type registration float -> org.hibernate.type.FloatType@13e3c1c7
DEBUG [2016-01-24 19:32:36,208] org.hibernate.type.BasicTypeRegistry: Adding type registration java.lang.Float -> org.hibernate.type.FloatType@13e3c1c7
DEBUG [2016-01-24 19:32:36,210] org.hibernate.type.BasicTypeRegistry: Adding type registration double -> org.hibernate.type.DoubleType@1d8062d2
DEBUG [2016-01-24 19:32:36,210] org.hibernate.type.BasicTypeRegistry: Adding type registration double -> org.hibernate.type.DoubleType@1d8062d2
DEBUG [2016-01-24 19:32:36,210] org.hibernate.type.BasicTypeRegistry: Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@1d8062d2
DEBUG [2016-01-24 19:32:36,211] org.hibernate.type.BasicTypeRegistry: Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@388ba540
DEBUG [2016-01-24 19:32:36,211] org.hibernate.type.BasicTypeRegistry: Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@388ba540
DEBUG [2016-01-24 19:32:36,212] org.hibernate.type.BasicTypeRegistry: Adding type registration big_integer -> org.hibernate.type.BigIntegerType@3d484181
DEBUG [2016-01-24 19:32:36,212] org.hibernate.type.BasicTypeRegistry: Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@3d484181
